       1.0000000       1.9212922
       1.1707799       1.9634689
       1.3707256       2.0124185
       1.6048181       2.0667095
       1.8788888       2.1254982
       2.1997653       2.1879444
       2.5754410       2.2543336
       3.0152747       2.3219376
       3.5302231       2.3900051
       4.1331143       2.4583244
       4.8389673       2.5261659
       5.6653658       2.5951492
       6.6328966       2.6713848
       7.7656622       2.7532983
       9.0918814       2.8387245
       10.644592       2.9260399
       12.462475       3.0152020
       14.590816       3.1071307
       17.082634       3.2018011
       20.000005       3.2985165
