       1.0000000      0.99982744
       1.0718415       1.0190141
       1.1488441       1.0384807
       1.2313787       1.0582291
       1.3198428       1.0782613
       1.4146622       1.0985793
       1.5162936       1.1191846
       1.6252263       1.1400791
       1.7419849       1.1612641
       1.8671316       1.1827413
       2.0012691       1.2045119
       2.1450431       1.2265771
       2.2991461       1.2489380
       2.4643201       1.2715955
       2.6413604       1.2945503
       2.8311196       1.3178029
       3.0345113       1.3413537
       3.2525150       1.3652026
       3.4861804       1.3893497
       3.7366326       1.4137944
       4.0050777       1.4385364
       4.2928083       1.4635746
       4.6012098       1.4889077
       4.9317674       1.5145344
       5.2860727       1.5404542
       5.6658318       1.5666656
       6.0728734       1.5931635
       6.5091574       1.6199440
       6.9767847       1.6470043
       7.4780070       1.6743415
       8.0152378       1.7019506
       8.5910641       1.7298281
       9.2082585       1.7579686
       9.8697931       1.7863664
       10.578853       1.8150159
       11.338853       1.8439102
       12.153453       1.8730430
       13.026575       1.9024057
       13.962423       1.9319905
       14.965503       1.9617887
       16.040647       1.9917909
       17.193030       2.0219861
       18.428202       2.0523647
       19.752111       2.0829158
       20.000000       2.0884561
