0    1977.26259227	    1.005239	    0.010000	       0.99990146	0.0001030
0    1977.28302458	    1.005265	    0.010000	       0.99998961	0.0001030
0    1977.30345678	    1.005207	    0.010000	       0.99999649	0.0001030
0    1977.32388918	    1.005133	    0.010000	       0.99998838	0.0001030
0    1977.34432148	    1.004967	    0.010000	       0.99988714	0.0001030
0    1977.36475378	    1.005143	    0.010000	       1.00012686	0.0001030
0    1977.38518608	    1.004939	    0.010000	       0.99998577	0.0001030
0    1977.40561838	    1.004940	    0.010000	       1.00004570	0.0001030
0    1977.42605068	    1.004997	    0.010000	       1.00016022	0.0001030
0    1977.44648307	    1.004810	    0.010000	       1.00002968	0.0001030
0    1977.46691527	    1.004898	    0.010000	       1.00016979	0.0001030
0    1977.48734767	    1.004691	    0.010000	       1.00001530	0.0001030
0    1977.50777996	    1.004626	    0.010000	       0.99999963	0.0001030
0    1977.54864456	    1.004540	    0.010000	       1.00000547	0.0001030
0    1977.56907685	    1.004442	    0.010000	       0.99994944	0.0001030
0    1977.58950904	    1.004360	    0.010000	       0.99991192	0.0001030
0    1977.60994144	    1.004560	    0.010000	       1.00015010	0.0001030
0    1977.63037373	    1.004378	    0.010000	       1.00000609	0.0001030
0    1977.65080593	    1.004360	    0.010000	       1.00002382	0.0001030
0    1977.67123832	    1.004187	    0.010000	       0.99988398	0.0001030
0    1977.69167061	    1.004179	    0.010000	       0.99991074	0.0001030
0    1977.71210280	    1.004301	    0.010000	       1.00006854	0.0001030
0    1977.75296748	    1.004051	    0.010000	       0.99988336	0.0001030
0    1977.77339967	    1.004011	    0.010000	       0.99987533	0.0001030
0    1977.79383206	    1.004043	    0.010000	       0.99994082	0.0001030
0    1977.81426435	    1.004142	    0.010000	       1.00006989	0.0001030
0    1977.83469664	    1.003933	    0.010000	       0.99989357	0.0001030
0    1977.85512893	    1.003878	    0.010000	       0.99986925	0.0001030
0    1977.87556122	    1.003930	    0.010000	       0.99995102	0.0001030
0    1977.91642579	    1.004017	    0.010000	       1.00009994	0.0001030
0    1977.93685808	    1.003845	    0.010000	       0.99995972	0.0001030
0    1977.95729046	    1.003882	    0.010000	       1.00002775	0.0001030
0    1977.97772265	    1.003968	    0.010000	       1.00014664	0.0001030
0    1977.99815493	    1.003756	    0.010000	       0.99996885	0.0001030
0    1978.01858732	    1.003783	    0.010000	       1.00002963	0.0001030
0    1978.03901950	    1.003845	    0.010000	       1.00012365	0.0001030
0    1978.05945178	    1.003867	    0.010000	       1.00017793	0.0001030
0    1978.07988417	    1.003699	    0.010000	       1.00004464	0.0001030
0    1978.10031635	    1.003720	    0.010000	       1.00009794	0.0001030
0    1978.12074863	    1.003677	    0.010000	       1.00008896	0.0001030
0    1978.14118101	    1.003725	    0.010000	       1.00017035	0.0001030
0    1978.16161319	    1.003642	    0.010000	       1.00011983	0.0001030
0    1978.18204547	    1.003627	    0.010000	       1.00013748	0.0001030
0    1978.20247785	    1.003531	    0.010000	       1.00007019	0.0001030
0    1978.22291003	    1.003621	    0.010000	       1.00018975	0.0001030
0    1978.24334241	    1.003480	    0.010000	       1.00007622	0.0001030
0    1978.26377469	    1.003448	    0.010000	       1.00006938	0.0001030
0    1978.28420697	    1.003424	    0.010000	       1.00007338	0.0001030
0    1978.30463925	    1.003431	    0.010000	       1.00010574	0.0001030
0    1978.32507152	    1.003342	    0.010000	       1.00004259	0.0001030
0    1978.34550380	    1.003192	    0.010000	       0.99992549	0.0001030
0    1978.36593608	    1.003328	    0.010000	       1.00008717	0.0001030
0    1978.38636835	    1.003160	    0.010000	       0.99995115	0.0001030
0    1978.40680063	    1.003071	    0.010000	       0.99988823	0.0001030
0    1978.42723290	    1.002935	    0.010000	       0.99977552	0.0001030
0    1978.44766518	    1.003007	    0.010000	       0.99987504	0.0001030
0    1978.46809745	    1.003034	    0.010000	       0.99992505	0.0001030
0    1978.48852972	    1.003172	    0.010000	       1.00008985	0.0001030
0    1978.50896200	    1.003010	    0.010000	       0.99995535	0.0001030
